run,compression_mode,maze_file,normal_found,compressed_found,normal_visited,compressed_visited,normal_path_length,compressed_path_length,normal_ms,compressed_ms,compressed_build_ms,compressed_search_ms,compressed_total_ms,compressed_nodes,compressed_edges,visited_reduction_percent,time_reduction_percent,path_delta
1,optimized,maze\sz7hqniyssc2yxiu.txt,True,True,61,5,56,56,0.2618,0.0203,1.0733,0.0203,1.0936,19,36,91.8,-317.72,0
2,optimized,maze\csgu35fpwnw8d0r0.txt,True,True,59,4,56,56,0.1418,0.0121,0.9888,0.0121,1.0009,13,24,93.22,-605.85,0
3,optimized,maze\lly6ywun3sdnk29s.txt,True,True,109,13,96,96,0.2466,0.025,0.981,0.025,1.006,19,36,88.07,-307.95,0
4,optimized,maze\n5r4vax1t307b43p.txt,True,True,139,16,120,120,0.4233,0.0709,1.2103,0.0709,1.2812,19,36,88.49,-202.67,0
5,optimized,maze\lmvj8nl604d5q2rh.txt,True,True,53,5,48,48,0.4818,0.0602,3.8889,0.0602,3.9491,19,36,90.57,-719.66,0
6,optimized,maze\33t88ikt14oajdhk.txt,True,True,57,5,52,52,0.8687,0.0553,12.6779,0.0553,12.7332,19,36,91.23,-1365.78,0
7,optimized,maze\im7xq7nnsl1gw00g.txt,True,True,55,4,48,48,0.5138,0.0595,3.5213,0.0595,3.5808,18,34,92.73,-596.92,0
8,optimized,maze\136bplh4wjyeqcko.txt,True,True,65,5,60,60,0.6705,0.0564,2.7513,0.0564,2.8077,17,32,92.31,-318.75,0
9,optimized,maze\ujt4tv2irfmo5c6g.txt,True,True,59,3,56,56,0.6027,0.0613,3.588,0.0613,3.6493,13,24,94.92,-505.49,0
10,optimized,maze\2ezfuq7tqiklsgfb.txt,True,True,133,13,108,108,2.4429,0.1439,9.5038,0.1439,9.6477,18,34,90.23,-294.93,0
11,optimized,maze\japd3n07so4iqbvd.txt,True,True,107,9,96,96,0.8595,0.1093,3.4403,0.1093,3.5496,17,32,91.59,-312.98,0
12,optimized,maze\4oopiz7z1294rvkv.txt,True,True,103,10,92,92,0.8601,0.1077,3.3918,0.1077,3.4995,22,42,90.29,-306.87,0
13,optimized,maze\c4tf743bt316vp28.txt,True,True,125,13,104,104,1.0175,0.1211,3.756,0.1211,3.8771,18,34,89.6,-281.04,0
14,optimized,maze\oobs3p0wy6kc42k9.txt,True,True,71,6,60,60,0.7179,0.0631,3.9319,0.0631,3.995,18,34,91.55,-456.48,0
15,optimized,maze\94kkps431xcs8ssu.txt,True,True,83,6,64,64,0.2889,0.0189,1.0722,0.0189,1.0911,19,36,92.77,-277.67,0
16,optimized,maze\riuduwizqhja72ik.txt,True,True,59,8,48,48,0.1413,0.0182,1.0007,0.0182,1.0189,21,40,86.44,-621.09,0
17,optimized,maze\jru16aomzcgjsfoj.txt,True,True,61,3,60,60,0.1423,0.0088,1.0296,0.0088,1.0384,11,20,95.08,-629.73,0
18,optimized,maze\sg3np6zeb6x7ghcr.txt,True,True,41,3,40,40,0.0976,0.0083,0.9807,0.0083,0.989,23,44,92.68,-913.32,0
19,optimized,maze\0fchaz1xz1qodr1h.txt,True,True,79,8,72,72,0.1833,0.0202,1.1501,0.0202,1.1703,19,36,89.87,-538.46,0
20,optimized,maze\e0pndpdbfbfz9hhm.txt,True,True,39,4,36,36,0.0968,0.0107,0.9999,0.0107,1.0106,20,38,89.74,-944.01,0
21,optimized,maze\dgfsbg6uz6sw8tge.txt,True,True,55,5,52,52,0.1349,0.0174,1.0355,0.0174,1.0529,20,38,90.91,-680.5,0
22,optimized,maze\iv6dl320nsuytfdw.txt,True,True,47,5,44,44,0.1487,0.0109,0.9887,0.0109,0.9996,21,40,89.36,-572.23,0
23,optimized,maze\h84um4mvuykzlalp.txt,True,True,79,5,76,76,0.1803,0.0115,1.001,0.0115,1.0125,17,32,93.67,-461.56,0
24,optimized,maze\l8poqnd8qallxqtm.txt,True,True,49,3,48,48,0.305,0.0208,2.3336,0.0208,2.3544,22,42,93.88,-671.93,0
25,optimized,maze\w8co7h6ze1rho29h.txt,True,True,55,4,52,52,0.2693,0.0098,0.9454,0.0098,0.9552,18,34,92.73,-254.7,0
26,optimized,maze\n79bqq20qpxhqsic.txt,True,True,119,14,104,104,0.306,0.0246,1.114,0.0246,1.1386,25,48,88.24,-272.09,0
27,optimized,maze\w4h7lsor8qbyxdvt.txt,True,True,61,5,56,56,0.2366,0.0189,1.7612,0.0189,1.7801,17,32,91.8,-652.37,0
28,optimized,maze\g3as6r0hrh7tkjxh.txt,True,True,97,7,84,84,0.255,0.0156,1.1485,0.0156,1.1641,17,32,92.78,-356.51,0
29,optimized,maze\l7iyrqbk1aoloqwx.txt,True,True,71,5,68,68,0.284,0.0115,1.038,0.0115,1.0495,17,32,92.96,-269.54,0
30,optimized,maze\346e5g9swpl22oos.txt,True,True,127,13,100,100,0.3091,0.0199,0.9514,0.0199,0.9713,16,30,89.76,-214.23,0
